GROUP1_RSSI_VAL_ANT1,GROUP1_RSSI_VAL_ANT2,GROUP2_CAL_CHAN,GROUP2_DELTA_RSSI_ANT1
,,,
30,30,30,30
-46,-47,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-47,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
-46,-46,196,2
